1	['98', '117', '17', '24', '39', '117', '12', '27', '17', '24', '23', '33', '17', '53', '12', '24', '20', '100', '33', '39']
2	[]
3	['245']
4	['264', '264']
5	['2', '1', '40', '1', '1', '2']
6	['15', '14', '23', '14', '15', '28', '14']
7	['28', '22', '7', '7', '10', '156', '7', '10', '22', '28', '54', '7']
8	['7']
9	['6']
10	['1', '4', '1', '7', '1', '1', '1', '1', '7', '1', '4']
11	['260']
12	['15']
13	['21', '25', '21', '100', '21', '243', '269', '2', '27', '118', '258', '14', '25', '56']
14	['7', '50', '7']
15	['1', '1', '1', '1', '1', '1', '7', '1', '1', '7']
16	['22', '7', '7', '22', '7', '8', '7', '8', '56', '7']
17	['1', '1', '1', '1', '1', '1', '13', '1', '9', '1']
18	['1', '13', '14', '1', '1', '1', '1', '14', '1', '1', '47', '1']
19	['4', '4', '4', '4', '4', '4']
20	['1', '1', '1', '1', '1', '1', '1', '1']
21	[]
22	[]
23	['1', '32', '1', '1', '1']
24	['9', '9', '9', '9']
25	['8', '8', '8', '8']
26	['7', '7', '25', '9', '125', '7', '9', '9']
27	['121']
28	['7', '7', '12', '7']
29	[]
30	['7']
31	[]
32	['100']
33	['258', '258', '258']
34	['245', '245', '259', '259']
35	['259', '243', '243', '242', '243']
36	[]
37	[]
38	['1', '1', '1', '1', '1']
39	['258']
40	['303']
41	['1', '1', '1', '1', '1']
42	['12', '28']
43	['1', '5', '1', '15', '1', '1', '11', '1', '1', '1', '7', '7', '1', '14']
44	['9', '15', '9', '15', '15', '11', '21', '15']
45	['1', '1', '1', '1', '1', '1']
46	['7', '7']
47	[]
48	[]
49	['3', '11', '11', '1', '7', '7', '11', '1', '7', '7', '11', '1', '3', '1', '3', '1', '3', '7']
50	['9', '9']
51	[]
52	['15']
53	[]
54	['50']
55	[]
56	['1', '31', '56', '1', '1', '1', '7']
57	['7', '7', '100', '7']
58	['9', '9', '9', '50']
59	['12', '169', '175', '12', '14', '12', '7', '50', '12', '50', '71', '98', '10', '13', '98', '50', '100']
60	['21', '28', '56', '28', '13']
61	[]
62	['4', '8', '28', '100', '3', '20', '12', '4']
63	['6', '50', '100', '6', '111']
64	['1', '7', '9', '1', '1', '7', '9', '1', '9', '1', '1', '8', '1', '7']
65	['7', '56', '97']
66	['1', '1', '1', '1', '1', '1', '1', '1', '1']
67	['1', '1', '1', '7', '1', '1', '1', '1', '1', '1', '1']
68	[]
69	[]
70	['50']
71	[]
72	['64', '12', '28']
73	['7', '12', '7', '7']
74	['9', '9']
75	[]
76	[]
77	['4', '4', '50']
78	[]
79	['7', '7', '50', '100', '7']
80	[]
81	['7', '7', '7']
82	['11', '8', '15', '69', '13', '64', '14', '15', '15', '13', '14', '11']
83	['1', '1', '22', '28', '1', '1', '1', '1', '1']
84	['7', '7', '7', '7', '7']
85	['13', '124', '25']
86	['258', '286']
87	['2', '7', '9', '7', '7']
88	['301']
89	['117', '14']
90	['12', '11', '9', '14', '12', '42', '22', '98', '45', '12']
91	['28']
92	['11', '15', '124', '62', '11', '22', '42', '85', '22']
93	[]
94	['9', '1', '1', '50', '23', '1', '8', '12', '1', '1', '1', '9', '9', '58']
