1	98	[1, 4.880952380952381, 4.880952380952381]
1	117	[2, 7.455194805194806, 3.727597402597403]
1	17	[3, 12.594174208144796, 4.198058069381599]
1	24	[3, 12.166650326797384, 4.0555501089324615]
1	39	[2, 6.04013986013986, 3.02006993006993]
1	12	[2, 10.096477272727274, 5.048238636363637]
1	27	[1, 2.71875, 2.71875]
1	23	[1, 4.538461538461538, 4.538461538461538]
1	33	[2, 6.103076923076923, 3.0515384615384615]
1	53	[1, 3.967948717948718, 3.967948717948718]
1	20	[1, 4.457894736842105, 4.457894736842105]
1	100	[1, 5.407894736842105, 5.407894736842105]
2	2	[2, 5.337032085561498, 2.668516042780749]
2	4	[3, 12.9112129700365, 4.303737656678833]
2	5	[1, 3.1691176470588234, 3.1691176470588234]
2	7	[4, 16.233070279393807, 4.058267569848452]
2	9	[3, 11.960331335331336, 3.986777111777112]
2	23	[1, 3.872727272727273, 3.872727272727273]
2	24	[1, 2.0545454545454547, 2.0545454545454547]
2	3	[2, 7.166666666666666, 3.583333333333333]
2	116	[1, 2.1636363636363636, 2.1636363636363636]
2	268	[1, 2.1636363636363636, 2.1636363636363636]
2	12	[1, 3.6272727272727274, 3.6272727272727274]
3	1	[5, 16.216416040100253, 3.2432832080200504]
3	7	[2, 5.703571428571428, 2.851785714285714]
3	2	[3, 9.097117794486216, 3.032372598162072]
3	9	[2, 4.613095238095238, 2.306547619047619]
3	245	[1, 2.6090909090909093, 2.6090909090909093]
3	262	[1, 0.790909090909091, 0.790909090909091]
3	5	[1, 3.8035714285714284, 3.8035714285714284]
3	4	[1, 3.4285714285714284, 3.4285714285714284]
3	11	[1, 3.4285714285714284, 3.4285714285714284]
3	3	[1, 2.9464285714285716, 2.9464285714285716]
3	12	[1, 3.982142857142857, 3.982142857142857]
3	48	[1, 3.982142857142857, 3.982142857142857]
4	242	[1, 2.25, 2.25]
4	245	[1, 3.138888888888889, 3.138888888888889]
4	264	[2, 7.214285714285714, 3.607142857142857]
4	286	[1, 5.571428571428571, 5.571428571428571]
4	243	[1, 2.5, 2.5]
4	1	[3, 14.35515873015873, 4.78505291005291]
4	3	[1, 3.2380952380952386, 3.2380952380952386]
4	7	[2, 9.7, 4.85]
4	17	[1, 2.566666666666667, 2.566666666666667]
4	22	[1, 5.9, 5.9]
4	4	[2, 5.102777777777778, 2.551388888888889]
4	12	[1, 5.0, 5.0]
4	16	[1, 4.166666666666666, 4.166666666666666]
4	9	[1, 4.4, 4.4]
4	10	[1, 4.4, 4.4]
5	2	[2, 5.8005115089514065, 2.9002557544757033]
5	3	[2, 4.132119514472455, 2.0660597572362276]
5	4	[2, 8.260188087774296, 4.130094043887148]
5	22	[1, 5.032467532467533, 5.032467532467533]
5	1	[3, 10.813292365975066, 3.6044307886583553]
5	8	[2, 7.210439560439561, 3.6052197802197803]
5	15	[2, 7.158241758241759, 3.5791208791208793]
5	40	[1, 3.9333333333333336, 3.9333333333333336]
5	82	[1, 3.0333333333333337, 3.0333333333333337]
5	9	[1, 4.13076923076923, 4.13076923076923]
5	5	[1, 3.6812865497076026, 3.6812865497076026]
5	7	[2, 8.224143692564745, 4.112071846282372]
6	15	[2, 2.93778801843318, 1.46889400921659]
6	39	[1, 1.1473118279569894, 1.1473118279569894]
6	2	[2, 5.439972527472527, 2.7199862637362635]
6	5	[2, 5.302894088669952, 2.651447044334976]
6	14	[3, 10.786796536796535, 3.595598845598845]
6	23	[1, 4.373809523809523, 4.373809523809523]
6	11	[2, 7.652428171878973, 3.8262140859394864]
6	28	[1, 3.9565217391304346, 3.9565217391304346]
6	4	[1, 3.390394088669951, 3.390394088669951]
6	20	[1, 2.8106060606060606, 2.8106060606060606]
6	31	[2, 5.786999550157445, 2.8934997750787224]
6	24	[2, 8.417582417582418, 4.208791208791209]
7	1	[4, 16.958436918479407, 4.239609229619852]
7	28	[2, 7.740760869565218, 3.870380434782609]
7	22	[2, 10.346739130434782, 5.173369565217391]
7	55	[1, 2.033333333333333, 2.033333333333333]
7	7	[4, 15.732001218928215, 3.9330003047320536]
7	19	[1, 5.41578947368421, 5.41578947368421]
7	10	[2, 8.555713489409142, 4.277856744704571]
